#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     114.637     114.637           0
           2     115.789     115.213    0.407294
           3     115.762     115.396    0.309896
           4     116.708     115.724    0.367012
           5     118.928     116.364    0.643987
           6      117.65     116.579    0.571162
           7     122.743     117.459    0.950942
           8     118.962     117.647    0.850415
           9     119.309     117.832    0.775722
          10     117.039     117.752    0.702191
          11     116.406      117.63    0.648937
          12     116.215     117.512    0.605482
          13     112.338     117.114    0.677218
          14     113.521     116.857    0.675717
          15      117.28     116.886    0.631256
          16     111.611     116.556    0.672392
          17     116.433     116.549    0.632879
          18     118.534     116.659    0.607252
          19      111.11     116.367    0.641684
          20     117.814     116.439    0.613666
