#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1      0.1641      0.1641           0
           2      0.1731      0.1686  0.00318198
           3       0.117      0.1514   0.0142031
           4      -0.196     0.06455   0.0759649
           5      0.0016     0.05196   0.0618064
           6     -0.0764   0.0305667   0.0550835
           7     -0.0871   0.0137571   0.0497132
           8      0.4868   0.0728875    0.070367
           9      0.3757    0.106533   0.0701325
          10     -0.1432     0.08156   0.0674191
          11     -0.2906   0.0477273   0.0692609
          12     -0.1136   0.0342833   0.0647808
          13      0.2418   0.0502462   0.0617331
          14      0.4875   0.0814786   0.0647439
          15     -0.2865   0.0569467   0.0649092
          16       0.438   0.0807625    0.065075
          17     -0.1708   0.0659647    0.062907
          18      0.1589   0.0711278   0.0596237
          19     -0.1384      0.0601   0.0574964
          20     -0.4189     0.03615   0.0594006
