#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.56918    -0.56918           0
           2   -0.566424   -0.567802 0.000974393
           3   -0.569132   -0.568245 0.000743642
           4   -0.569352   -0.568522  0.00060702
           5   -0.570132   -0.568844 0.000564597
           6    -0.56684    -0.56851 0.000560653
           7   -0.570068   -0.568733 0.000522875
           8   -0.568156   -0.568661 0.000462456
           9   -0.567888   -0.568575 0.000418962
          10   -0.567704   -0.568488 0.000386007
          11    -0.56926   -0.568558 0.000357245
          12   -0.569348   -0.568624 0.000333488
          13   -0.569164   -0.568665 0.000310414
          14   -0.565212   -0.568419 0.000373602
          15   -0.566584   -0.568296  0.00036817
          16   -0.569344   -0.568362 0.000350935
          17   -0.568136   -0.568348 0.000330543
          18   -0.569492   -0.568412 0.000318226
          19   -0.568464   -0.568415 0.000301489
          20   -0.565708   -0.568279 0.000315331
