#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     14.2747     14.2747           0
           2     14.0903     14.1825   0.0651757
           3     14.1244     14.1631   0.0462374
           4      13.961     14.1126   0.0558356
           5     13.9918     14.0885   0.0496202
           6     13.9121     14.0591   0.0492922
           7     14.0944     14.0641   0.0425081
           8     14.2132     14.0828   0.0410789
           9     14.4295     14.1213   0.0515041
          10     14.2367     14.1328    0.047629
          11     14.0773     14.1278   0.0435652
          12     14.0503     14.1213   0.0404099
          13     14.0599     14.1166   0.0375768
          14     14.1916      14.122   0.0352725
          15      13.905     14.1075    0.035763
          16     14.1963      14.113   0.0339554
          17     14.1243     14.1137   0.0319646
          18     14.0222     14.1086   0.0305903
          19     13.9448        14.1   0.0301702
          20     13.7817     14.0841     0.03259
