#  VELOCITY:   ACTUAL_POFV:   AVE_POFV:      ERROR:
   0.0760117      0.0236014   0.0236014           0
    0.228035      0.0247586   0.0247586           0
    0.380058      0.0847518   0.0847518           0
    0.532082       0.125407    0.125407           0
    0.684105       0.195694    0.195694           0
    0.836129       0.254834    0.254834           0
    0.988152       0.212534    0.212534           0
     1.14018       0.462404    0.462404           0
      1.2922       0.638882    0.638882           0
     1.44422       0.446843    0.446843           0
     1.59625       0.486463    0.486463           0
     1.74827       0.481346    0.481346           0
     1.90029       0.683618    0.683618           0
     2.05232       0.460486    0.460486           0
     2.20434       0.353107    0.353107           0
     2.35636       0.311843    0.311843           0
     2.50839       0.285379    0.285379           0
     2.66041       0.272984    0.272984           0
     2.81243       0.198373    0.198373           0
     2.96446       0.161068    0.161068           0
     3.11648      0.0743672   0.0743672           0
      3.2685      0.0952582   0.0952582           0
     3.42053       0.111399    0.111399           0
     3.57255      0.0531107   0.0531107           0
     3.72457      0.0180284   0.0180284           0
      3.8766      0.0320674   0.0320674           0
     4.02862      0.0247891   0.0247891           0
     4.18064     0.00380668  0.00380668           0
     4.33267    0.000730882 0.000730882           0
     4.48469              0           0           0


   0.0760117              0   0.0118007  0.00834435
    0.228035     0.00697383   0.0158662  0.00628787
    0.380058      0.0285044   0.0566281   0.0198865
    0.532082       0.140999    0.133203  0.00551265
    0.684105       0.216585    0.206139   0.0073861
    0.836129       0.231476    0.243155  0.00825822
    0.988152       0.308767    0.260651   0.0340234
     1.14018       0.405913    0.434159   0.0199726
      1.2922        0.54944    0.594161   0.0316224
     1.44422       0.600663    0.523753   0.0543836
     1.59625       0.426439    0.456451   0.0212216
     1.74827       0.483722    0.482534 0.000839819
     1.90029         0.5837    0.633659   0.0353262
     2.05232       0.546791    0.503638   0.0305134
     2.20434       0.358954    0.356031  0.00206725
     2.35636       0.479397     0.39562   0.0592395
     2.50839       0.302189    0.293784  0.00594333
     2.66041        0.27539    0.274187 0.000850585
     2.81243       0.113348    0.155861   0.0300612
     2.96446      0.0629472    0.112008    0.034691
     3.11648       0.112464   0.0934158   0.0134694
      3.2685        0.14438    0.119819    0.017367
     3.42053      0.0802752   0.0958369   0.0110038
     3.57255      0.0201297   0.0366202   0.0116606
     3.72457       0.066632   0.0423302    0.017184
      3.8766      0.0225964   0.0273319  0.00334851
     4.02862     0.00925783   0.0170235  0.00549112
     4.18064              0  0.00190334  0.00134586
     4.33267              0 0.000365441 0.000258406
     4.48469              0           0           0


   0.0760117    0.000395894  0.00799909  0.00637029
    0.228035     0.00441574   0.0120494  0.00522343
    0.380058      0.0391326   0.0507963   0.0140868
    0.532082       0.122819    0.129742  0.00463622
    0.684105       0.262112    0.224797   0.0160101
    0.836129       0.241008     0.24244   0.0055364
