#   N_BLOCK:  ACCEPTANCE:
           1    0.425034
           2    0.426799
           3    0.427281
           4    0.426746
           5     0.42681
           6    0.426988
           7    0.426871
           8    0.426892
           9    0.426857
          10    0.426756
          11    0.426718
          12    0.426721
          13    0.426821
          14    0.426775
          15    0.426836
          16    0.426744
          17    0.426734
          18    0.426603
          19    0.426531
          20     0.42662
