#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     120.264     120.264           0
           2     117.118     118.691     1.11221
           3      118.65     118.677    0.741557
           4     120.969      119.25    0.745359
           5     120.192     119.439    0.619612
           6     118.355     119.258    0.542015
           7     117.972     119.074     0.49473
           8      124.41     119.741    0.759323
           9     116.837     119.419    0.740348
          10     121.231       119.6    0.688151
          11     115.811     119.255    0.706573
          12     120.255     119.339     0.65258
          13     119.693     119.366     0.60295
          14     123.935     119.692    0.642153
          15     122.554     119.883    0.627039
          16     116.913     119.697    0.614709
          17     121.511     119.804    0.587737
          18     120.748     119.857    0.557422
          19     118.468     119.783    0.532854
          20     119.408     119.765    0.506541
