#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.571832   -0.571832           0
           2   -0.566308    -0.56907   0.0019528
           3   -0.567774   -0.568638  0.00134885
           4   -0.572785   -0.569675  0.00135265
           5   -0.569189   -0.569578   0.0010856
           6   -0.567997   -0.569314 0.000936074
           7    -0.57138   -0.569609 0.000847605
           8   -0.568761   -0.569503 0.000748255
           9   -0.570381   -0.569601 0.000671445
          10   -0.570491    -0.56969 0.000610171
          11   -0.569299   -0.569654 0.000555735
          12   -0.570131   -0.569694  0.00051084
          13   -0.568089   -0.569571 0.000486242
          14   -0.570929   -0.569668 0.000461095
          15   -0.568547   -0.569593  0.00043637
          16   -0.570685   -0.569661 0.000414397
          17   -0.571221   -0.569753 0.000400054
          18   -0.572196   -0.569889 0.000400195
          19   -0.571202   -0.569958 0.000385052
          20   -0.567616   -0.569841 0.000383183
