#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1      2.3495      2.3495           0
           2      2.1911      2.2703   0.0560029
           3      2.0138      2.1848    0.079167
           4       2.743     2.32435    0.134652
           5      2.3428     2.32804    0.107772
           6      1.9431     2.26388    0.107219
           7      1.9807     2.22343   0.0992408
           8      2.6731     2.27964    0.101513
           9      2.4734     2.30117   0.0924889
          10      2.0574     2.27679   0.0863927
          11      2.2676     2.27595   0.0785429
          12      1.9571     2.24938     0.07636
          13      2.3717     2.25879   0.0710635
          14      2.4334     2.27126    0.067073
          15      2.5166     2.28762   0.0645649
          16      2.0415     2.27224   0.0623351
          17      2.6733     2.29583   0.0629747
          18      2.3606     2.29943   0.0595788
          19       2.264     2.29756   0.0564722
          20       2.291     2.29723   0.0536496
