#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2209.81     2209.81           0
           2     2354.13     2281.97     51.0248
           3     2267.14     2277.02      34.255
           4     2038.71     2217.45      57.639
           5     2047.54     2183.47     55.2267
           6     2219.56     2189.48     46.3488
           7     2004.44     2163.05     46.6611
           8     2195.68     2167.13     41.0063
           9     2065.27     2155.81     37.9796
          10     1985.94     2138.82     37.7899
          11     1936.04     2120.39     38.5899
          12     2274.52     2133.23     37.4506
          13     2248.02     2142.06     35.5955
          14     2205.08     2146.56     33.3363
          15     2114.22     2144.41     31.1835
          16     2401.93      2160.5     33.1288
          17     2098.18     2156.84     31.3822
          18     2070.01     2152.01     30.0072
          19     1962.46     2142.03     30.0406
          20     2160.43     2142.95     28.5526
