#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     5271.74     5271.74           0
           2     5330.26        5301     20.6897
           3     5270.68     5290.89     16.0742
           4        5200     5268.17     23.0786
           5     5172.94     5249.12     25.1211
           6     5290.74     5256.06     21.8707
           7     5191.76     5246.87     20.5851
           8     5246.79     5246.86      18.012
           9     5213.68     5243.18     16.3836
          10     5209.37      5239.8     15.0899
          11     5152.71     5231.88      15.658
          12     5291.55     5236.85     15.1221
          13     5280.65     5240.22     14.3293
          14     5284.82     5243.41     13.6552
          15     5211.11     5241.25     12.9135
          16     5336.78     5247.22     13.4158
          17     5227.45     5246.06     12.6769
          18     5225.88     5244.94     12.0222
          19     5180.98     5241.57     11.8514
          20     5255.86     5242.29     11.2803
