#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.941564   -0.941564           0
           2   -0.946999   -0.944281  0.00192177
           3   -0.941677   -0.943413  0.00146423
           4   -0.935196   -0.941359   0.0020907
           5   -0.932682   -0.939624  0.00228178
           6   -0.943415   -0.940255  0.00198703
           7   -0.934575   -0.939444  0.00186149
           8   -0.939516   -0.939453  0.00162882
           9   -0.936592   -0.939135  0.00147854
          10   -0.936199   -0.938841  0.00135953
          11    -0.93093   -0.938122  0.00141345
          12   -0.943585   -0.938577    0.001367
          13   -0.942508    -0.93888  0.00129486
          14   -0.942926   -0.939169  0.00123421
          15   -0.936373   -0.938982  0.00116592
          16   -0.947601   -0.939521  0.00121109
          17   -0.937666   -0.939412  0.00114476
          18   -0.937845   -0.939325  0.00108447
          19   -0.933692   -0.939028  0.00106715
          20   -0.940299   -0.939092  0.00101568
