#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     29.3791     29.3791           0
           2     32.4381     30.9086     1.08152
           3     28.4819     30.0997     0.97779
           4     25.7602     29.0148     1.19185
           5      27.986     28.8091     0.97108
           6     28.9763     28.8369    0.809633
           7     26.7987     28.5458    0.744491
           8     31.3198     28.8925    0.727716
           9     25.6293     28.5299     0.73163
          10     26.5168     28.3286    0.685604
          11     22.9744     27.8419    0.777083
          12     31.9221     28.1819     0.78319
          13     29.3512     28.2718    0.728092
          14     31.4057     28.4957    0.709662
          15     25.2323     28.2781    0.694899
          16     28.3017     28.2796     0.65147
          17     27.1047     28.2105    0.616803
          18      28.822     28.2445    0.583471
          19     24.6897     28.0574    0.581986
          20     28.4682     28.0779    0.553249
