#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.65401     1.65401           0
           2     1.67301     1.66351  0.00671936
           3     1.68364     1.67022  0.00707708
           4     1.68314     1.67345   0.0060004
           5     1.66384     1.67153  0.00509869
           6     1.67348     1.67185  0.00425931
           7      1.6819     1.67329   0.0038852
           8     1.66108     1.67176  0.00368699
           9     1.67087     1.67166  0.00327865
          10     1.64982     1.66948  0.00360561
          11     1.66389     1.66897  0.00331343
          12     1.63848     1.66643  0.00389141
          13     1.63178     1.66377   0.0044115
          14     1.66943     1.66417  0.00411488
          15      1.6594     1.66385  0.00385285
          16     1.66091     1.66367  0.00361642
          17     1.67454     1.66431  0.00345974
          18     1.65797     1.66396  0.00328538
          19     1.66712     1.66412  0.00311668
          20      1.6752     1.66468  0.00300964
          21     1.66234     1.66456  0.00286839
          22     1.63749     1.66333  0.00299035
          23      1.6802     1.66407   0.0029489
          24     1.65132     1.66354  0.00287345
          25     1.65451     1.66318  0.00278111
          26     1.65024     1.66268  0.00271831
          27     1.64904     1.66217  0.00266417
          28     1.66237     1.66218  0.00256903
          29     1.66789     1.66238  0.00248796
          30     1.64951     1.66195  0.00244169
          31     1.67609      1.6624  0.00240515
          32     1.66826     1.66259  0.00233694
          33     1.64067     1.66192  0.00235862
          34     1.64678     1.66148  0.00233089
          35     1.66863     1.66168  0.00227324
          36     1.65975     1.66163  0.00221072
          37     1.69443     1.66251  0.00232198
          38      1.6759     1.66287  0.00228742
          39     1.65209     1.66259   0.0022454
          40     1.66283      1.6626  0.00218927
          41     1.68964     1.66326  0.00223304
          42     1.66292     1.66325  0.00217989
          43     1.65641     1.66309  0.00213499
          44     1.61932     1.66209  0.00230662
          45     1.66593     1.66218  0.00225694
          46     1.65256     1.66197  0.00221754
          47     1.69149      1.6626  0.00225755
          48     1.65966     1.66254  0.00221135
          49     1.68567     1.66301  0.00221605
          50     1.65846     1.66292  0.00217359
