#  DISTANCE:   ACTUAL_GOFR:   AVE_GOFR:      ERROR:
     2.19304         1.1435     1.13358  0.00701626
     2.21869        1.12893      1.1267  0.00158092
     2.24434        1.11989     1.09684   0.0162968
     2.26999        1.08561      1.0731  0.00884732
     2.29564        1.05037     1.04037  0.00706801
     2.32129        1.01327     1.00586  0.00523987
     2.34694       0.989596     0.97677  0.00906955
     2.37259       0.938972    0.952432  0.00951727
     2.39824       0.934203    0.935764  0.00110365
     2.42389       0.908712    0.906072  0.00186695
     2.44954       0.891481    0.898812  0.00518374
     2.47519       0.895249    0.903534  0.00585807
     2.50084       0.905646    0.905701 3.85681e-05
     2.52649       0.904784    0.903105  0.00118737
     2.55214       0.909298    0.904347  0.00350061


   0.0128248              0           0           0
   0.0384745              0           0           0
   0.0641241              0           0           0
   0.0897737              0           0           0
    0.115423              0           0           0
    0.141073              0           0           0
    0.166723              0           0           0
    0.192372              0           0           0
    0.218022              0           0           0
    0.243672              0           0           0
    0.269321              0           0           0
    0.294971              0           0           0
     0.32062              0           0           0
     0.34627              0           0           0
     0.37192              0           0           0
    0.397569              0           0           0
    0.423219              0           0           0
    0.448869              0           0           0
    0.474518              0           0           0
    0.500168              0           0           0
    0.525818              0           0           0
    0.551467              0           0           0
    0.577117              0           0           0
    0.602767              0           0           0
    0.628416              0           0           0
    0.654066              0           0           0
    0.679715              0           0           0
    0.705365              0           0           0
    0.731015              0           0           0
    0.756664              0           0           0
    0.782314              0           0           0
    0.807964              0           0           0
    0.833613              0           0           0
    0.859263              0           0           0
    0.884913     0.00146728  0.00140615 0.000282103
    0.910562      0.0272394   0.0255216  0.00100848
    0.936212       0.179061    0.175183  0.00174502
    0.961861        0.58708    0.588205  0.00257521
    0.987511         1.1693     1.22049    0.020923
     1.01316         1.8527      1.8645   0.0116308
     1.03881        2.33984     2.31105   0.0246087
     1.06446        2.59157     2.58455    0.014463
     1.09011        2.55575     2.53694   0.0153044
     1.11576        2.45757      2.4065   0.0248986
     1.14141        2.20036     2.18246  0.00978512
     1.16706        1.98164       1.929   0.0283505
     1.19271        1.77925     1.73098   0.0204065
     1.21836        1.57915     1.57812  0.00196638
     1.24401        1.34755     1.38829   0.0217423
     1.26966        1.21369      1.2399   0.0115415
     1.29531        1.06164     1.11518   0.0218782
     1.32096       0.997048       1.021   0.0101335
     1.34661       0.950934    0.957791  0.00811965
     1.37226        0.88805    0.872986  0.00671149
     1.39791       0.829484    0.813014    0.006841
     1.42355       0.785369    0.785724  0.00199321
      1.4492       0.742308    0.741886  0.00737662
     1.47485       0.702286     0.71383  0.00591826
      1.5005       0.703967    0.691363  0.00899595
     1.52615       0.696075    0.695314  0.00202252
      1.5518       0.675864     0.66815  0.00715502
     1.57745        0.64187    0.666277   0.0105461
      1.6031       0.657138    0.675912  0.00795157
     1.62875       0.694645    0.694451  0.00857925
      1.6544       0.695654    0.709298  0.00800216
     1.68005       0.717447    0.729257   0.0232667
      1.7057       0.756458    0.755409  0.00380877
     1.73135       0.800143    0.781001   0.0118437
       1.757       0.805578    0.796431  0.00663164
     1.78265       0.845082    0.832661   0.0064066
      1.8083       0.855463    0.881503   0.0126402
     1.83395       0.918883    0.938431   0.0116137
      1.8596       0.964588    0.981438   0.0103943
     1.88525        1.04217     1.03603  0.00255164
      1.9109        1.06483     1.06104   0.0115727
     1.93655        1.09349     1.10588  0.00612414
      1.9622        1.11581     1.12614  0.00660586
     1.98785        1.15975     1.15501   0.0039437
      2.0135        1.18973     1.18754  0.00239361
     2.03915        1.24921     1.22122   0.0116852
      2.0648        1.23958     1.23192  0.00611409
     2.09045        1.23214      1.2185   0.0070182
      2.1161        1.23616      1.2032    0.014842
     2.14174        1.21338     1.19666  0.00908804
     2.16739        1.19933     1.18254   0.0109825
