#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1      7.6987      7.6987           0
           2      9.0344     8.36655    0.472241
           3      6.6487     7.79393    0.563657
           4      8.3993     7.94527    0.442594
           5      7.8751     7.93124    0.354298
           6      7.9751     7.93855    0.295324
           7      9.0843     8.10223    0.295026
           8      7.2898     8.00067    0.275072
           9      9.3806       8.154    0.284044
          10      8.3903     8.17763     0.25662
          11      9.3057     8.28018    0.252954
          12      8.6664     8.31237    0.233913
          13      9.7669     8.42425    0.241199
          14      8.0444     8.39712    0.225491
          15      8.2506     8.38735     0.21067
          16      8.4661     8.39227    0.197561
          17      7.4561     8.33721    0.193462
          18      9.2258     8.38657    0.188908
          19      9.6532     8.45324    0.190365
          20      9.6162     8.51138     0.18952
