#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     448.906     448.906           0
           2     490.727     469.817      14.786
           3     474.248     471.294     9.93088
           4     500.696     478.644      9.7979
           5     472.773      477.47     7.90838
           6     491.868      479.87     6.94482
           7     497.403     482.374     6.38846
           8     471.243     480.983     5.73944
           9     496.972     482.759     5.36964
          10     506.442     485.128     5.32941
          11     507.516     487.163     5.21911
          12     490.136     487.411     4.79006
          13     505.041     488.767     4.60959
          14     477.598     487.969     4.34882
          15     510.351     489.461     4.30728
          16     500.795      490.17      4.0959
          17     453.419     488.008     4.38853
          18     504.356     488.916     4.23766
          19     503.612      489.69      4.0846
          20     510.784     490.744     4.01423
