#   N_BLOCK:  ACCEPTANCE:
           1    0.211788
           2    0.210749
           3    0.210348
           4    0.210048
           5    0.210131
           6    0.209898
           7    0.209612
           8    0.210029
           9    0.209891
          10    0.209726
          11     0.20962
          12    0.209532
          13    0.209459
          14    0.209715
          15    0.209579
          16    0.209522
          17    0.209766
          18    0.209749
          19    0.209594
          20    0.209568
