#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.787387   -0.787387           0
           2   -0.789574   -0.788481 0.000772967
           3   -0.789243   -0.788735 0.000555566
           4     -0.7912   -0.789351 0.000677051
           5   -0.789058   -0.789292 0.000544172
           6   -0.791038   -0.789583  0.00052552
           7    -0.79187    -0.78991  0.00054253
           8   -0.786236   -0.789451 0.000640243
           9   -0.790828   -0.789604 0.000587114
          10   -0.791188   -0.789762 0.000549363
          11   -0.791462   -0.789917 0.000520706
          12   -0.790459   -0.789962 0.000479267
          13   -0.791611   -0.790089 0.000458876
          14   -0.786294   -0.789818 0.000499792
          15    -0.79166   -0.789941 0.000481331
          16   -0.790666   -0.789986 0.000453381
          17   -0.784662   -0.789673 0.000523807
          18    -0.79043   -0.789715 0.000496395
          19   -0.793529   -0.789916  0.00050925
          20   -0.790738   -0.789957 0.000485447
