#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     1738.91     1738.91           0
           2     1749.33     1744.12     3.68318
           3     1746.75        1745     2.55813
           4     1756.29     1747.82     3.10813
           5     1746.61     1747.58     2.49587
           6     1755.31     1748.87     2.38949
           7      1759.2     1750.34     2.46198
           8        1734      1748.3     2.87952
           9     1754.39     1748.98     2.63784
          10     1755.98     1749.68     2.46532
          11     1757.58     1750.39     2.34343
          12     1752.58     1750.58      2.1552
          13     1757.67     1751.12      2.0573
          14     1735.31     1749.99     2.19858
          15     1757.98     1750.53     2.11548
          16     1754.64     1750.78     1.99882
          17     1728.09     1749.45     2.28394
          18     1753.86     1749.69     2.17017
          19     1766.07     1750.55     2.22053
          20     1754.57     1750.76     2.11855
