#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     3306.16     3306.16           0
           2     3541.63      3423.9     83.2532
           3        3590     3479.26     71.5837
           4     3851.48     3572.32     96.8325
           5     3435.21      3544.9      81.256
           6     3775.25     3583.29      76.246
           7     3965.25     3637.85     82.6024
           8      4213.3     3709.78     98.7483
           9     3775.23     3717.06     88.0436
          10      4024.1     3747.76     84.4235
          11     3874.18     3759.25     77.5269
          12     3867.48     3768.27      71.589
          13     3997.51     3785.91     68.2193
          14     3802.69      3787.1      63.357
          15     3971.93     3799.43     60.3195
          16     3857.97     3803.09     56.6604
          17     4156.31     3823.86       57.01
          18     3970.35        3832     54.4205
          19     3672.49     3823.61     52.1999
          20     3989.38     3831.89     50.2436
