#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     144.126     144.126           0
           2     142.106     143.116    0.714148
           3      144.14     143.457     0.55168
           4     143.838     143.553    0.421882
           5     144.477     143.737     0.37581
           6     143.461     143.691    0.315988
           7     143.324     143.639    0.275163
           8     143.921     143.674    0.243015
           9     144.076     143.719    0.220078
          10     143.366     143.684    0.200875
          11       142.9     143.612    0.194822
          12     144.949     143.724    0.208015
          13     145.046     143.825     0.21545
          14     142.951     143.763    0.208916
          15     143.099     143.719    0.199625
          16     144.615     143.775    0.194853
          17     143.458     143.756    0.184282
          18     143.892     143.764    0.174198
          19     144.296     143.792    0.167267
          20     143.129     143.758    0.162156
