#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1        68.6        68.6           0
           2     67.7669     68.1834    0.294545
           3     68.7816     68.3828    0.255071
           4     66.9985     68.0367    0.355566
           5     66.6008     67.7496     0.38327
           6     67.5869     67.7224    0.320349
           7      68.181      67.788    0.281203
           8     68.2236     67.8424     0.25127
           9     69.6903     68.0477    0.295564
          10     67.8833     68.0313    0.266465
          11     68.2128     68.0478    0.242751
          12     69.1127     68.1365    0.238191
          13      66.434     68.0056    0.253327
          14     68.7354     68.0577    0.240536
          15      67.767     68.0383     0.22528
          16     69.0667     68.1026    0.220178
          17     68.7408     68.1401    0.210402
          18     70.6473     68.2794    0.240437
          19     67.0858     68.2166    0.235847
          20     68.1544     68.2135    0.224075
