#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.463078   -0.463078           0
           2   -0.459721   -0.461399  0.00118671
           3   -0.463512   -0.462103 0.000977954
           4    -0.46327   -0.462395  0.00077572
           5   -0.464451   -0.462806 0.000721356
           6   -0.462245   -0.462713 0.000607168
           7   -0.462356   -0.462662 0.000522564
           8   -0.462952   -0.462698 0.000458503
           9   -0.463281   -0.462763 0.000412117
          10   -0.462085   -0.462695 0.000376444
          11   -0.461716   -0.462606 0.000352588
          12   -0.464978   -0.462804 0.000374547
          13   -0.465285   -0.462994 0.000391352
          14    -0.46176   -0.462906   0.0003732
          15   -0.461709   -0.462826 0.000356753
          16   -0.464232   -0.462914 0.000345104
          17   -0.462182   -0.462871  0.00032748
          18    -0.46272   -0.462863 0.000309395
          19   -0.463717   -0.462908 0.000296356
          20    -0.46216    -0.46287 0.000283888
