#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1      1.5438      1.5438           0
           2      1.4725     1.50815   0.0252084
           3      1.4788     1.49837   0.0186074
           4      1.3143     1.45235   0.0422245
           5      1.1368     1.38924   0.0657827
           6      0.9117     1.30965    0.091016
           7      1.2794     1.30533   0.0781163
           8      1.6898     1.35339   0.0818102
           9      1.6935     1.39118   0.0809793
          10      1.5513     1.40719   0.0744476
          11      1.0694     1.37648   0.0737415
          12      1.0753     1.35138   0.0717405
          13      1.7016     1.37832   0.0711005
          14      1.5998     1.39414    0.067759
          15      1.0624     1.37203   0.0667535
          16      1.8201     1.40003   0.0682032
          17       1.365     1.39797   0.0642224
          18      1.3599     1.39586   0.0606893
          19      1.2314      1.3872   0.0581091
          20      1.1794     1.37681   0.0561248
