#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1      2.3498      2.3498           0
           2     -1.5704      0.3897       1.386
           3     -0.2207    0.186233    0.938816
           4      0.5425      0.2753    0.708324
           5      0.7314     0.36652    0.572503
           6      1.9647    0.632883    0.535477
           7     -0.4429      0.4792    0.480528
           8     -0.6785    0.334487    0.441715
           9       0.099    0.308322     0.39341
          10      1.0426     0.38175    0.360856
          11      2.6931    0.591873     0.38439
          12      -0.509    0.500133     0.36314
          13      0.6587    0.512331    0.335411
          14     -1.1259    0.395314    0.331236
          15      -1.066    0.297893    0.323163
          16     -0.8857    0.223919    0.311317
          17      1.7096    0.311312    0.305024
          18      0.6496    0.330106    0.288657
          19      0.9602    0.363268    0.275363
          20      2.7349     0.48185     0.28599
