#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     771.255     771.255           0
           2     756.404      763.83      5.2508
           3     771.781      766.48     4.11541
           4     794.879      773.58     6.87983
           5     794.214     777.707       6.627
           6     820.859     784.899     8.57923
           7     729.353     776.964     10.3945
           8     822.363     782.639      10.531
           9     726.562     776.408     11.0514
          10     752.755     774.043     10.1963
          11     782.556     774.816     9.29867
          12     697.933     768.409     10.5016
          13     777.985     769.146     9.71959
          14     726.346     766.089     9.49396
          15     769.411      766.31     8.86361
          16     795.546     768.138     8.49589
          17      747.31     766.912     8.08399
          18     794.612     768.451     7.77997
          19     792.682     769.727     7.47429
          20     784.344     770.457     7.13622
