#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.849376   -0.849376           0
           2   -0.847132   -0.848254 0.000793374
           3   -0.848424   -0.848311 0.000530936
           4     -0.8517   -0.849158 0.000834892
           5   -0.850836   -0.849494 0.000732264
           6   -0.852232    -0.84995 0.000738886
           7   -0.849812    -0.84993 0.000633594
           8   -0.847628   -0.849643 0.000616297
           9   -0.846412   -0.849284 0.000643919
          10   -0.848848    -0.84924 0.000580998
          11   -0.850384   -0.849344 0.000537408
          12   -0.847432   -0.849185 0.000515703
          13   -0.849088   -0.849177 0.000476087
          14   -0.845848   -0.848939 0.000497942
          15   -0.847872   -0.848868 0.000469803
          16   -0.850484   -0.848969 0.000451163
          17   -0.847924   -0.848908 0.000428793
          18   -0.851604   -0.849058  0.00043034
          19   -0.849084   -0.849059 0.000407693
          20    -0.84944   -0.849078 0.000387753
