#   N_BLOCK:  ACCEPTANCE:
           1     0.15124
           2    0.152112
           3    0.152064
           4    0.151147
           5    0.150695
           6     0.15024
           7    0.150286
           8    0.150594
           9    0.150898
          10    0.150955
          11    0.150858
          12    0.150954
          13    0.150912
          14    0.151141
          15     0.15121
          16    0.151067
          17    0.151108
          18    0.150945
          19    0.150923
          20    0.150897
