#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1      1.8228      1.8228           0
           2      1.7244      1.7736   0.0347897
           3      1.8281     1.79177   0.0275307
           4      1.5615      1.7342   0.0539609
           5      1.5673     1.70082   0.0524873
           6      1.1895      1.6156   0.0892479
           7       1.502     1.59937   0.0779597
           8      1.9596      1.6444   0.0801709
           9      1.9973     1.68361   0.0802813
          10      1.8548     1.70073   0.0740559
          11       1.222     1.65721   0.0790844
          12      1.5088     1.64484   0.0734547
          13      1.9737     1.67014   0.0720287
          14      1.7162     1.67343   0.0669589
          15      1.3265      1.6503   0.0663693
          16      1.9587     1.66958   0.0649599
          17       1.682     1.67031   0.0611428
          18      1.5908     1.66589   0.0579053
          19        1.55     1.65979    0.055178
          20      1.4523     1.64942   0.0533855
