#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     190.865     190.865           0
           2     188.014      189.44     1.00795
           3     190.398     189.759    0.720843
           4     189.589     189.717    0.541889
           5     190.332      189.84     0.44728
           6     188.602     189.634    0.417594
           7     189.434     189.605    0.358914
           8     189.299     189.567    0.316083
           9      189.67     189.578    0.281171
          10     188.736     189.494     0.26536
          11     188.642     189.417    0.252299
          12     191.106     189.557    0.267696
          13     190.342     189.618    0.253815
          14     188.602     189.545    0.245835
          15     188.809     189.496     0.23429
          16     190.156     189.537    0.223247
          17     189.175     189.516     0.21113
          18     189.788     189.531    0.199941
          19     189.815     189.546    0.189976
          20     188.388     189.488    0.189099
