#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     79.7942     79.7942           0
           2     80.7059     80.2501    0.322364
           3     81.2494     80.5832    0.346647
           4     78.6232     80.0932    0.497649
           5     78.4459     79.7637    0.495306
           6     78.7154      79.589    0.442503
           7     81.7706     79.9007    0.476564
           8     80.2179     79.9403     0.41864
           9     82.1024     80.1806    0.435631
          10      80.701     80.2326    0.395164
          11     77.4958     79.9838    0.430497
          12     79.8638     79.9738    0.394739
          13       78.46     79.8573    0.381163
          14     81.8296     79.9982    0.379078
          15      79.361     79.9557    0.356179
          16     80.2909     79.9767    0.334533
          17     79.7544     79.9636     0.31511
          18     83.9109     80.1829    0.366042
          19     79.4132     80.1424    0.349011
          20     80.5175     80.1612    0.332064
