#   N_BLOCK:  ACCEPTANCE:
           1    0.380874
           2    0.382115
           3    0.381621
           4    0.381383
           5    0.381483
           6     0.38148
           7    0.381582
           8    0.381642
           9    0.381828
          10    0.381553
          11    0.381538
          12    0.381427
          13    0.381383
          14    0.381525
          15    0.381522
          16    0.381531
          17    0.381606
          18    0.381563
          19    0.381527
          20     0.38157
