#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1      2.9789      2.9789           0
           2      2.5865      2.7827    0.138734
           3      2.4457     2.67037    0.130257
           4      3.2681      2.8198    0.162147
           5      3.3516     2.92616    0.160862
           6      3.0568     2.94793    0.135517
           7      2.3986     2.86946    0.137008
           8      3.0449     2.89139    0.121625
           9      3.0887     2.91331    0.110069
          10      2.9224     2.91422    0.099066
          11      3.2161     2.94166   0.0937843
          12      2.7452     2.92529   0.0873863
          13      2.9002     2.92336   0.0806856
          14       3.078     2.93441   0.0756746
          15      2.5187     2.90669   0.0755341
          16      3.0476      2.9155   0.0713247
          17      2.7229     2.90417    0.068023
          18      3.0176     2.91047   0.0645352
          19      2.9222     2.91109   0.0611415
          20      2.9001     2.91054   0.0580869
