#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1         500         500           0
           2     492.494     496.247      2.6537
           3     499.465      497.32     1.97413
           4     502.073     498.508     1.80315
           5     498.362     498.479     1.44276
           6     498.842     498.539     1.20357
           7     498.648     498.555     1.03173
           8     498.264     498.519    0.903404
           9     496.394     498.282    0.833301
          10     502.171     498.671    0.835777
          11     499.231     498.722    0.761344
          12     500.427     498.864    0.711032
          13     499.028     498.877    0.656449
          14     496.326     498.695    0.634348
          15     498.114     498.656    0.593237
          16     497.974     498.613    0.557689
          17     496.086     498.465    0.544338
          18     500.763     498.592    0.528866
          19     498.492     498.587    0.501057
          20     497.057     498.511    0.481807
