#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     12.6167     12.6167           0
           2      12.599     12.6079  0.00623131
           3     12.4996     12.5718   0.0297443
           4      12.271     12.4966   0.0688337
           5     12.3475     12.4668   0.0611876
           6      12.399     12.4555    0.052021
           7     12.5443     12.4682   0.0461118
           8     12.6913     12.4961    0.048046
           9     12.7162     12.5205   0.0485379
          10     12.4251      12.511   0.0446123
          11     12.4213     12.5028   0.0412941
          12     12.4107     12.4951   0.0385606
          13     12.5309     12.4979   0.0356924
          14     12.4572      12.495    0.033261
          15      12.442     12.4915    0.031231
          16     12.5958      12.498   0.0299518
          17     12.4635      12.496   0.0282586
          18     12.4612      12.494   0.0267546
          19     12.4511     12.4918   0.0254416
          20     12.3786     12.4861   0.0247905
