#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1      0.3109      0.3109           0
           2      0.2243      0.2676   0.0306177
           3      0.1255    0.220233   0.0437307
           4     -0.0167       0.161   0.0608864
           5     -0.0549     0.11782   0.0621626
           6     -0.3034   0.0476167   0.0824048
           7     -0.2398  0.00655714   0.0802124
           8       0.329   0.0468625   0.0796712
           9      0.3694      0.0827   0.0784661
          10      0.0227      0.0767   0.0708486
          11     -0.1053   0.0601545   0.0663116
          12     -0.1366   0.0437583     0.06278
          13      0.3276   0.0655923   0.0616307
          14      0.2649   0.0798286   0.0588498
          15     -0.1484   0.0646133   0.0568593
          16      0.4362   0.0878375   0.0578545
          17      0.0243      0.0841   0.0545719
          18      0.1215   0.0861778   0.0515796
          19      0.0119   0.0822684   0.0490129
          20     -0.4484    0.055735   0.0532622
