#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     93.9279     93.9279           0
           2     95.6359     94.7819    0.603869
           3     93.8735     94.4791    0.472429
           4     95.0865     94.6309    0.377937
           5      94.882     94.6812    0.305667
           6     93.2824      94.448    0.331928
           7     97.2936     94.8545    0.471799
           8     93.4929     94.6843     0.44246
           9     96.8071     94.9202    0.451809
          10     94.8533     94.9135    0.406677
          11     92.4084     94.6858    0.428759
          12     95.1892     94.7277    0.395076
          13     91.1473     94.4523    0.450572
          14     93.2286     94.3649    0.426782
          15     93.1292     94.2825    0.406203
          16     93.8059     94.2527    0.381906
          17     93.8321      94.228    0.360242
          18     96.8792     94.3753    0.369112
          19     91.7152     94.2353    0.375299
          20     94.4913     94.2481    0.356753
