#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     96.3642     96.3642           0
           2     97.1699     96.7671    0.284839
           3      96.484     96.6727    0.204925
           4     96.1164     96.5336    0.195271
           5     97.7174     96.7704    0.263149
           6     93.8291     96.2802    0.498349
           7     98.4612     96.5917    0.515434
           8     96.3504     96.5616    0.451887
           9     99.8587     96.9279    0.529759
          10     97.4675     96.9819    0.479523
          11     94.4512     96.7518    0.488009
          12     96.3166     96.7155    0.448687
          13     94.7466     96.5641    0.438992
          14     97.7618     96.6496    0.415887
          15     94.2306     96.4884    0.418262
          16     96.0806     96.4629    0.392897
          17     96.7006     96.4769    0.370034
          18     98.8916      96.611    0.373003
          19     94.8448     96.5181    0.364771
          20     95.9521     96.4898    0.347628
