#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     255.941     255.941           0
           2     253.728     254.834    0.782516
           3      255.59     255.086      0.5608
           4      255.13     255.097    0.420707
           5     257.191     255.516      0.5035
           6     253.524     255.184    0.517586
           7     255.985     255.298    0.456118
           8      254.84     255.241    0.402688
           9     255.039     255.219    0.358569
          10     253.496     255.046    0.361735
          11     254.675     255.013    0.330417
          12     255.785     255.077    0.309091
          13     255.985     255.147    0.293106
          14     253.329     255.017    0.299558
          15     254.609      254.99    0.280817
          16     256.777     255.102    0.284624
          17     255.342     255.116    0.268234
          18     254.787     255.097    0.253954
          19     255.914      255.14    0.244199
          20     252.991     255.033    0.254539
