#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1      2.2574      2.2574           0
           2       2.073      2.1652   0.0651952
           3       2.211     2.18047   0.0452157
           4      1.8815     2.10572   0.0730736
           5      1.9526      2.0751   0.0645581
           6      1.4887     1.97737    0.104183
           7       1.645     1.92989    0.099533
           8      2.1508      1.9575   0.0908413
           9      2.2781     1.99312   0.0874538
          10       2.034     1.99721   0.0788039
          11      1.7481     1.97456   0.0748232
          12      1.7857     1.95882   0.0702237
          13      2.3014     1.98518   0.0695908
          14      2.1395      1.9962   0.0654872
          15      1.6432     1.97267   0.0652129
          16      2.3973     1.99921    0.066318
          17      1.9299     1.99513   0.0625421
          18      2.0157     1.99627    0.059078
          19      1.8723     1.98975   0.0563278
          20      1.7141     1.97596   0.0551718
