#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     5225.28     5225.28           0
           2     5276.79     5251.04     18.2118
           3     5173.82      5225.3     24.2716
           4     5137.01     5203.22     26.3964
           5     5214.26     5205.43     21.2093
           6     5279.52     5217.78     20.9632
           7     5230.35     5219.58     18.0452
           8     5172.56      5213.7     16.7193
           9     5205.95     5212.84     14.8837
          10     5233.44      5214.9     13.5372
          11     5246.67     5217.79     12.6108
          12     5260.76     5221.37     12.0578
          13     5198.91     5219.64     11.2533
          14     5155.03     5215.03     11.3564
          15     5148.54     5210.59     11.4316
          16      5176.9     5208.49     10.9094
          17     5256.17     5211.29     10.6221
          18     5299.12     5216.17     11.0962
          19     5266.52     5218.82      10.824
          20     5235.81     5219.67     10.3161
