#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2059.01     2059.01           0
           2     2246.09     2152.55      66.143
           3     1962.79     2089.29     67.9084
           4     1897.06     2041.24     65.7739
           5     2114.65     2055.92     54.2332
           6     2228.35     2084.66     52.2573
           7     2046.28     2079.18     45.0786
           8     1957.26     2063.94     41.9408
           9     2053.22     2062.75     37.2976
          10     2138.06     2070.28     34.3198
          11     2124.28     2075.19      31.549
          12      2170.7     2083.15     29.9072
          13     2041.21     2079.92       27.78
          14     1939.57      2069.9     27.5452
          15      1968.1     2063.11     26.5317
          16     1913.57     2053.76     26.4684
          17     2218.44     2063.45      26.625
          18     2289.15     2075.99     27.9428
          19     2181.79     2081.56     27.0213
          20      2131.2     2084.04      25.784
