#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     26.4441     26.4441           0
           2     30.1913     28.3177     1.32484
           3     26.6075     27.7476    0.998366
           4      23.396     26.6597     1.20346
           5     25.3321     26.3942    0.991629
           6     28.2051      26.696    0.871079
           7     27.4355     26.8017    0.753017
           8     24.7319     26.5429     0.70193
           9     24.9021     26.3606    0.647181
          10     25.9969     26.3242    0.583484
          11      31.004     26.7497    0.667761
          12     28.3995     26.8872    0.626108
          13     25.8512     26.8075    0.582995
          14     22.9711     26.5334     0.60232
          15     24.3547     26.3882    0.579415
          16      24.525     26.2717     0.55478
          17     27.5876     26.3492    0.527518
          18     29.0381     26.4985    0.518932
          19     26.9981     26.5248    0.492286
          20     26.9444     26.5458    0.468118
