#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.93767    -0.93767           0
           2   -0.942225   -0.939947  0.00161039
           3   -0.932991   -0.937628  0.00217643
           4   -0.929542   -0.935607   0.0023936
           5   -0.936401   -0.935766  0.00192014
           6   -0.942494   -0.936887  0.00189955
           7   -0.938074   -0.937057  0.00163574
           8   -0.932701   -0.936512  0.00151919
           9   -0.935885   -0.936442  0.00135199
          10   -0.938263   -0.936625  0.00122899
          11    -0.93947   -0.936883  0.00114415
          12   -0.940752   -0.937206  0.00109328
          13   -0.935124   -0.937045  0.00102084
          14    -0.93136   -0.936639  0.00102551
          15   -0.930574   -0.936235   0.0010338
          16   -0.933206   -0.936046 0.000986365
          17   -0.940287   -0.936295 0.000959378
          18   -0.944159   -0.936732  0.00100062
          19   -0.941287   -0.936972 0.000976259
          20    -0.93859   -0.937053 0.000930791
