#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1       9.033       9.033           0
           2       8.791       8.912   0.0855599
           3     10.3321     9.38537    0.390689
           4      7.2839        8.86    0.541171
           5      7.2964     8.54728    0.515431
           6      8.7962     8.58877    0.431192
           7      7.5323     8.43784    0.395125
           8     10.2369     8.66273      0.4047
           9      7.3457     8.51639    0.385283
          10      9.7022     8.63497    0.364547
          11      8.1266     8.58875    0.334323
          12      8.9632     8.61996    0.307915
          13      9.6448     8.69879    0.294148
          14      9.6294     8.76526    0.280548
          15      8.4696     8.74555    0.262536
          16      7.5424     8.67036    0.256671
          17      7.5048     8.60179    0.250563
          18      8.0645     8.57194    0.238414
          19      7.4849     8.51473    0.232629
          20      7.9246     8.48522    0.222861
