#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     500.928     500.928           0
           2     445.158     473.043     19.7179
           3     507.885     484.657     16.2087
           4     451.307      476.32     14.1392
           5     472.787     475.613      11.329
           6     486.213      477.38     9.57758
           7     469.543      476.26     8.27453
           8     521.149     481.871     8.94258
           9     455.911     478.987     8.40132
          10     469.017      477.99     7.62011
          11     490.595     479.136       7.013
          12     496.837     480.611     6.58189
          13     469.768     479.777     6.12821
          14     504.853     481.568     5.94648
          15     482.228     481.612     5.55021
          16     499.349     482.721     5.31288
          17     463.386     481.583     5.12065
          18     441.143     479.337     5.30618
          19     484.407     479.603     5.03361
          20     473.003     479.273     4.79274
