#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1      1764.9      1764.9           0
           2     1735.97     1750.44     10.2283
           3     1754.77     1751.88     6.92007
           4     1739.84     1748.87     5.80775
           5     1751.18     1749.33     4.66458
           6     1746.48     1748.86     3.91136
           7     1746.08     1748.46     3.37265
           8     1752.01     1748.91     2.98014
           9     1735.94     1747.47     2.97708
          10     1750.46     1747.76     2.69436
          11     1754.63     1748.39     2.52067
          12     1750.83     1748.59     2.31881
          13     1755.56     1749.13     2.20153
          14     1767.14     1750.41     2.39101
          15     1753.27      1750.6     2.23916
          16      1752.2      1750.7     2.10142
          17      1730.4     1749.51     2.29229
          18     1743.21     1749.16     2.19153
          19     1754.64     1749.45     2.09509
          20     1738.48      1748.9     2.06086
