#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.793321   -0.793321           0
           2   -0.786824   -0.790073  0.00229697
           3   -0.790909   -0.790351  0.00154812
           4    -0.78755   -0.789651  0.00131002
           5   -0.790203   -0.789761  0.00105265
           6   -0.789002   -0.789635  0.00088477
           7   -0.789037   -0.789549 0.000762487
           8   -0.790267   -0.789639 0.000672428
           9   -0.786554   -0.789296 0.000679478
          10   -0.789953   -0.789362 0.000614694
          11   -0.791031   -0.789514 0.000577227
          12   -0.790017   -0.789556 0.000530648
          13   -0.791202   -0.789682 0.000504713
          14    -0.79372   -0.789971 0.000544861
          15   -0.790632   -0.790015 0.000510316
          16   -0.790577    -0.79005  0.00047963
          17   -0.785422   -0.789778 0.000522999
          18   -0.788234   -0.789692 0.000500927
          19   -0.791022   -0.789762 0.000479429
          20    -0.78723   -0.789635 0.000471878
