#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      915.16      915.16           0
           2     872.842     894.001     14.9618
           3     1026.94     938.314     37.5312
           4     930.153     936.274     28.2038
           5     858.476     920.714     26.5098
           6      1043.4     941.162     28.9216
           7     856.396     929.053     27.2071
           8     997.355     937.591     25.1101
           9      876.99     930.857     23.2054
          10     905.893     928.361     21.0187
          11     1004.42     935.276     20.2133
          12       944.2     936.019     18.5426
          13     917.606     934.603     17.1702
          14     897.829     931.976     16.1434
          15     885.751     928.894     15.3585
          16     997.183     933.162     14.9799
          17     960.072     934.745     14.1821
          18     823.775      928.58     14.6732
          19     924.062     928.343     13.9028
          20     883.005     926.076     13.3912
