#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     2921.52     2921.52           0
           2      2913.8     2917.66     2.73103
           3        2951     2928.77     9.25523
           4     2930.03     2929.09     6.94675
           5     2894.11     2922.09     8.36894
           6     2956.82     2927.88     8.74928
           7     2892.24     2922.79     8.85763
           8     2919.26     2922.35      7.7614
           9      2902.1      2920.1     7.21756
          10     2920.43     2920.13     6.49588
          11     2943.43     2922.25     6.24107
          12     2923.31     2922.34     5.72161
          13     2921.26     2922.25     5.28209
          14     2941.61     2923.64     5.08242
          15     2882.11     2920.87     5.44578
          16     2941.79     2922.18        5.26
          17     2919.69     2922.03     4.95263
          18     2891.14     2920.31     4.96597
          19     2920.36     2920.31      4.7046
          20     2901.18     2919.36     4.56558
