#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     14.9984     14.9984           0
           2      14.357     14.6777    0.226769
           3      16.513     15.2895    0.521882
           4     14.4696     15.0845    0.429781
           5     11.8401     14.4356    0.674575
           6     13.4623     14.2734    0.581324
           7      13.588     14.1755    0.506457
           8     17.0024     14.5288    0.552847
           9      14.562     14.5325    0.491432
          10     14.0431     14.4836    0.444719
          11     15.2767     14.5557    0.410093
          12     16.0721     14.6821    0.394909
          13     14.2419     14.6482     0.36598
          14     15.8871     14.7367    0.350374
          15     13.3091     14.6415    0.339696
          16     12.1108     14.4834    0.353375
          17     13.7571     14.4406     0.33516
          18     14.8791      14.465    0.317424
          19     13.0198     14.3889    0.309697
          20     14.2733     14.3831    0.294266
